continent,location,date,population,new_vaccinations,rolling_vaccinations
Asia,Afghanistan,25/3/2021,38928341,,0
Asia,Afghanistan,26/3/2021,38928341,,0
Asia,Afghanistan,27/3/2021,38928341,,0
Asia,Afghanistan,28/3/2021,38928341,,0
Asia,Afghanistan,29/3/2021,38928341,,0
Asia,Afghanistan,30/3/2021,38928341,,0
Asia,Afghanistan,31/3/2021,38928341,,0
Asia,Afghanistan,1/4/2021,38928341,,0
Asia,Afghanistan,2/4/2021,38928341,,0
Asia,Afghanistan,3/4/2021,38928341,,0
Asia,Afghanistan,4/4/2021,38928341,,0
Asia,Afghanistan,5/4/2021,38928341,,0
Asia,Afghanistan,6/4/2021,38928341,,0
Asia,Afghanistan,7/4/2021,38928341,,0
Asia,Afghanistan,8/4/2021,38928341,,0
Asia,Afghanistan,9/4/2021,38928341,,0
Asia,Afghanistan,10/4/2021,38928341,,0
Asia,Afghanistan,11/4/2021,38928341,,0
Asia,Afghanistan,12/4/2021,38928341,,0
Asia,Afghanistan,13/4/2021,38928341,,0
Asia,Afghanistan,14/4/2021,38928341,,0
Asia,Afghanistan,15/4/2021,38928341,,0
Asia,Afghanistan,16/4/2021,38928341,,0
Asia,Afghanistan,17/4/2021,38928341,,0
Asia,Afghanistan,18/4/2021,38928341,,0
Asia,Afghanistan,19/4/2021,38928341,,0
Asia,Afghanistan,20/4/2021,38928341,,0
Asia,Afghanistan,21/4/2021,38928341,,0
Asia,Afghanistan,22/4/2021,38928341,,0
Asia,Afghanistan,23/4/2021,38928341,,0
Asia,Afghanistan,24/4/2021,38928341,,0
Asia,Afghanistan,25/4/2021,38928341,,0
Asia,Afghanistan,26/4/2021,38928341,,0
Asia,Afghanistan,27/4/2021,38928341,,0
Africa,Algeria,25/2/2020,43851043,,0
Africa,Algeria,26/2/2020,43851043,,0
Africa,Algeria,27/2/2020,43851043,,0
Africa,Algeria,28/2/2020,43851043,,0
Africa,Algeria,29/2/2020,43851043,,0
Africa,Algeria,1/3/2020,43851043,,0
Africa,Algeria,2/3/2020,43851043,,0
Africa,Algeria,3/3/2020,43851043,,0
Africa,Algeria,4/3/2020,43851043,,0
Africa,Algeria,5/3/2020,43851043,,0
Africa,Algeria,6/3/2020,43851043,,0
Africa,Algeria,7/3/2020,43851043,,0
Africa,Algeria,8/3/2020,43851043,,0
Africa,Algeria,9/3/2020,43851043,,0
Africa,Algeria,10/3/2020,43851043,,0
Africa,Algeria,11/3/2020,43851043,,0
Africa,Algeria,12/3/2020,43851043,,0
Africa,Algeria,13/3/2020,43851043,,0
Africa,Algeria,14/3/2020,43851043,,0
Africa,Algeria,15/3/2020,43851043,,0
Africa,Algeria,16/3/2020,43851043,,0
Africa,Algeria,17/3/2020,43851043,,0
Africa,Algeria,18/3/2020,43851043,,0
Africa,Algeria,19/3/2020,43851043,,0
Africa,Algeria,20/3/2020,43851043,,0
Africa,Algeria,21/3/2020,43851043,,0
Africa,Algeria,22/3/2020,43851043,,0
Africa,Algeria,23/3/2020,43851043,,0
Africa,Algeria,24/3/2020,43851043,,0
Africa,Algeria,25/3/2020,43851043,,0
Africa,Algeria,26/3/2020,43851043,,0
Africa,Algeria,27/3/2020,43851043,,0
Africa,Algeria,28/3/2020,43851043,,0
Africa,Algeria,29/3/2020,43851043,,0
Africa,Algeria,30/3/2020,43851043,,0
Africa,Algeria,31/3/2020,43851043,,0
Africa,Algeria,1/4/2020,43851043,,0
Africa,Algeria,2/4/2020,43851043,,0
Africa,Algeria,3/4/2020,43851043,,0
Africa,Algeria,4/4/2020,43851043,,0
Africa,Algeria,5/4/2020,43851043,,0
Africa,Algeria,6/4/2020,43851043,,0
Africa,Algeria,7/4/2020,43851043,,0
Africa,Algeria,8/4/2020,43851043,,0
Africa,Algeria,9/4/2020,43851043,,0
Africa,Algeria,10/4/2020,43851043,,0
Africa,Algeria,11/4/2020,43851043,,0
Africa,Algeria,12/4/2020,43851043,,0
Africa,Algeria,13/4/2020,43851043,,0
Africa,Algeria,14/4/2020,43851043,,0
Africa,Algeria,15/4/2020,43851043,,0
Africa,Algeria,16/4/2020,43851043,,0
Africa,Algeria,17/4/2020,43851043,,0
Africa,Algeria,18/4/2020,43851043,,0
Africa,Algeria,19/4/2020,43851043,,0
Africa,Algeria,20/4/2020,43851043,,0
Africa,Algeria,21/4/2020,43851043,,0
Africa,Algeria,22/4/2020,43851043,,0
Africa,Algeria,23/4/2020,43851043,,0
Africa,Algeria,24/4/2020,43851043,,0
Africa,Algeria,25/4/2020,43851043,,0
Africa,Algeria,26/4/2020,43851043,,0
Africa,Algeria,27/4/2020,43851043,,0
Africa,Algeria,28/4/2020,43851043,,0
Africa,Algeria,29/4/2020,43851043,,0
Africa,Algeria,30/4/2020,43851043,,0
Africa,Algeria,1/5/2020,43851043,,0
Africa,Algeria,2/5/2020,43851043,,0
Africa,Algeria,3/5/2020,43851043,,0
Africa,Algeria,4/5/2020,43851043,,0
Africa,Algeria,5/5/2020,43851043,,0
Africa,Algeria,6/5/2020,43851043,,0
Africa,Algeria,7/5/2020,43851043,,0
Africa,Algeria,8/5/2020,43851043,,0
Africa,Algeria,9/5/2020,43851043,,0
Africa,Algeria,10/5/2020,43851043,,0
Africa,Algeria,11/5/2020,43851043,,0
Africa,Algeria,12/5/2020,43851043,,0
Africa,Algeria,13/5/2020,43851043,,0
Africa,Algeria,14/5/2020,43851043,,0
